chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	10109	666461	0.366804140033761	173	0.132159768191908	1.18146192270352	4686	0.523187095697224	8	5	3	-6.76937023896628
chr1	673518	2551889	0.498900037971041	2270	0.0897887042669819	0.988547865354298	51699	0.353109416044207	6	3	3	-6.7515768116291
chr1	2576904	2783189	0.480494723425343	241	0.118401012048962	1.08095069231092	5048	0.335402154956283	6	3	3	-6.75140820941046
chr1	2790080	5793587	0.498919789417582	3548	0.0767571340523276	1.03333329026438	85976	0.341024188180586	6	3	3	-6.73316252833529
chr1	5794547	5841010	0.324920824484447	51	0.10725032839659	1.05501841291069	1396	0.545990063164773	6	4	2	-6.73726219688832
chr1	5841155	12802146	0.498926240289078	4923	0.0753615081620695	1.00163492460672	198418	0.331782031772529	6	3	3	-6.77200861674839
chr1	12802186	12865000	0.454916571928383	305	0.104237200566213	1.04590960235482	1846	0.429411259863715	9	5	4	-6.77037125334661
chr1	12865169	13367410	0.306540056223628	950	0.118669004118203	0.99068705736788	7124	0.421822490121849	6	4	2	-6.76788198330323
chr1	13367518	16509578	0.494624150197804	3255	0.0721610329976444	1.02414053628118	90522	0.334391184467978	6	3	3	-6.73800506988128
chr1	16509623	16896273	0.498794863156067	723	0.103926948842264	1.01918659909843	9871	0.299521911068077	6	3	3	-6.73367177286101
chr1	16900413	58623042	0.482219075276292	25899	0.0729622734001614	1.01342732214735	1177746	0.332854803732003	6	3	3	-6.86105503170467
chr1	58630383	58630969	0.208564744293785	12	0.0644789723769531	1.25994526891715	28	0.476335993638922	19	15	4	-6.73517983651357
chr1	58635570	80327855	0.498949718963977	14413	0.068680628371656	1.07886398700698	614387	0.351159473082495	6	3	3	-6.91522121982189
chr1	80330443	80331151	0.236506443314398	9	0.108083429709543	0.583116169910148	36	0.196279020703319	4	3	1	-6.7444990391983
chr1	80334359	108375890	0.498953162843065	18428	0.0687476243907316	1.09536986312291	793109	0.355460985999554	6	3	3	-7.14200284007862
